i	j	val
4	20	0.738095238095
4	21	0.785714285714
4	22	0.214285714286
4	23	0.238095238095
4	24	0.285714285714
4	25	0.25
4	26	0.22619047619
4	27	0.797619047619
4	28	0.654761904762
4	29	0.666666666667
4	30	0.630952380952
4	31	0.678571428571
4	32	0.702380952381
4	33	0.75
4	34	0.761904761905
4	35	0.214285714286
4	36	0.214285714286
4	37	0.214285714286
4	38	0.202380952381
4	39	0.654761904762
4	40	0.25
4	41	0.297619047619
4	42	0.238095238095
4	43	0.285714285714
4	44	0.214285714286
4	45	0.809523809524
4	46	0.785714285714
4	47	0.214285714286
4	48	0.785714285714
4	49	0.214285714286
4	50	0.22619047619
4	51	0.297619047619
4	52	0.27380952381
4	53	0.214285714286
4	54	0.214285714286
4	55	0.238095238095
4	56	0.321428571429
4	57	0.559523809524
4	58	0.52380952381
4	59	0.214285714286
4	60	0.761904761905
4	61	0.761904761905
4	62	0.702380952381
4	63	0.72619047619
4	64	0.72619047619
4	65	0.738095238095
4	66	0.690476190476
4	67	0.559523809524
4	68	0.535714285714
4	69	0.72619047619
4	70	0.714285714286
4	71	0.214285714286
4	72	0.22619047619
4	73	0.535714285714
4	74	0.238095238095
4	75	0.797619047619
4	76	0.75
4	77	0.22619047619
4	78	0.285714285714
4	79	0.214285714286
4	80	0.27380952381
4	81	0.261904761905
4	82	0.214285714286
4	83	0.761904761905
4	84	0.214285714286
4	85	0.214285714286
4	86	0.202380952381
4	87	0.690476190476
4	88	0.738095238095
4	89	0.785714285714
4	90	0.761904761905
4	91	0.761904761905
4	92	0.72619047619
4	93	0.785714285714
4	94	0.809523809524
4	95	0.214285714286
4	96	0.761904761905
4	97	0.797619047619
4	98	0.72619047619
4	99	0.761904761905
5	0	0.988095238095
5	1	0.0952380952381
5	2	0.119047619048
5	3	0.047619047619
5	4	0.190476190476
5	5	1.0
5	6	0.0833333333333
5	7	0.0833333333333
5	8	0.702380952381
5	9	0.0952380952381
5	10	0.904761904762
5	11	0.892857142857
5	12	0.904761904762
5	13	0.0357142857143
5	14	0.904761904762
5	15	0.261904761905
5	16	0.97619047619
5	17	0.0833333333333
5	18	1.0
5	19	0.0595238095238
5	20	0.107142857143
5	21	0.047619047619
5	22	0.988095238095
5	23	0.904761904762
5	24	0.821428571429
5	25	0.869047619048
5	26	0.952380952381
5	27	0.0714285714286
5	28	0.166666666667
5	29	0.154761904762
5	30	0.130952380952
5	31	0.0238095238095
5	32	0.107142857143
5	33	0.047619047619
5	34	0.0357142857143
5	35	0.988095238095
5	36	0.964285714286
5	37	0.97619047619
5	38	0.845238095238
5	39	0.0952380952381
5	40	0.928571428571
5	41	0.678571428571
5	42	0.97619047619
5	43	0.892857142857
5	44	1.0
5	45	0.0595238095238
5	46	0.0714285714286
5	47	0.97619047619
5	48	0.0357142857143
5	49	0.916666666667
5	50	0.97619047619
5	51	0.761904761905
5	52	0.809523809524
5	53	1.0
5	54	0.940476190476
5	55	0.845238095238
5	56	0.583333333333
5	57	0.130952380952
5	58	0.202380952381
